week,team,opponent,home,bye_prior_week,elo1_pre,elo_prob1,tot_dvoa,tot_dave,off_dvoa,def_dvoa,st_dvoa,opp_tot_dvoa,opp_tot_dave,opp_off_dvoa,opp_def_dvoa,opp_st_dvoa,net_tot_dvoa,net_tot_dave,net_off_dvoa,net_def_dvoa,net_st_dvoa,yards-per-play,opponent-yards-per-play,net-yards-per-play,points-per-game,opponent-points-per-game,net-points-per-game,team_score,opp_score,winner,total,margin
3,MIN,BUF,1,0,1608.955504,0.784962561,0.19,0.13,0.16,-0.17,-0.14,-0.94,-0.38,-0.57,0.27,-0.1,1.13,0.51,0.73,-0.44,-0.04,5.9,5.2,0.7,26.5,22.5,4,6,27,0,33,-21
3,NE,DET,0,0,1627.73135,0.644920848,-0.07,0.13,0.06,0.06,-0.07,-0.63,-0.14,-0.21,0.2,-0.21,0.56,0.27,0.27,-0.14,0.14,5.2,5.8,-0.6,23.5,25.5,-2,10,26,0,36,-16
3,NO,ATL,0,0,1552.780698,0.339975378,0.01,0.13,0.16,0.1,-0.04,-0.21,-0.01,-0.11,0.11,0.01,0.22,0.14,0.27,-0.01,-0.05,6.2,7,-0.8,30.5,33,-2.5,43,37,1,80,6
3,NYG,HOU,0,0,1387.864275,0.411724903,-0.31,-0.18,-0.19,0.1,-0.01,0.16,0.04,0.01,-0.1,0.04,-0.47,-0.22,-0.2,0.2,-0.05,4.5,5.4,-0.9,14,20,-6,27,22,1,49,5
3,NYJ,CLE,0,0,1457.443178,0.620405993,0.18,-0.06,-0.23,-0.27,0.14,-0.34,-0.09,-0.31,-0.17,-0.21,0.52,0.03,0.08,-0.1,0.35,5.8,4.8,1,30,18.5,11.5,17,21,0,38,-4
3,OAK,MIA,0,0,1429.604278,0.317678666,-0.09,-0.05,0.09,0.15,-0.03,0.42,0.03,0.01,-0.41,0.01,-0.51,-0.08,0.08,0.56,-0.04,6.2,6,0.2,16,26.5,-10.5,20,28,0,48,-8
3,PHI,IND,1,0,1634.163172,0.829402982,0.15,0.12,0.07,-0.15,-0.07,-0.1,-0.03,-0.11,-0.02,-0.02,0.25,0.15,0.18,-0.13,-0.05,4.6,6,-1.4,19.5,19.5,0,20,16,1,36,4
3,PIT,TB,0,0,1565.797327,0.457753479,-0.09,0.13,0.11,0.12,-0.08,0.04,-0.04,0.39,0.29,-0.06,-0.13,0.17,-0.28,-0.17,-0.02,6.1,5.6,0.5,29,31.5,-2.5,30,27,1,57,3
3,SEA,DAL,1,0,1507.185811,0.547217146,-0.24,-0.02,-0.28,-0.05,0,0.06,0.07,0.09,-0.07,-0.1,-0.3,-0.09,-0.37,0.02,0.1,4.9,5.5,-0.6,20.5,25.5,-5,24,13,1,37,11
3,SF,KC,0,0,1471.127613,0.226752951,-0.29,-0.1,-0.2,0.05,-0.04,0.5,0.08,0.59,0.32,0.22,-0.79,-0.18,-0.79,-0.27,-0.26,5.6,5.3,0.3,23,25.5,-2.5,27,38,0,65,-11
3,TB,PIT,1,0,1530.223375,0.542246521,0.04,-0.04,0.39,0.29,-0.06,-0.09,0.13,0.11,0.12,-0.08,0.13,-0.17,0.28,0.17,0.02,8,6.6,1.4,37.5,30.5,7,27,30,0,57,-3
3,TEN,JAX,0,0,1484.095016,0.286343596,-0.32,-0.07,-0.24,0.16,0.08,0.24,0,0.12,-0.1,0.03,-0.56,-0.07,-0.36,0.26,0.05,5,6.5,-1.5,20,22,-2,9,6,1,15,3
3,WSH,GB,1,0,1466.416637,0.573908063,0.04,0.01,-0.05,-0.16,-0.07,-0.12,0.06,-0.02,0.07,-0.03,0.16,-0.05,-0.03,-0.23,-0.04,5.2,4.5,0.7,16.5,13.5,3,31,17,1,48,14
4,ARI,SEA,1,0,1416.180936,0.431110534,-0.52,-0.26,-0.52,-0.03,-0.03,0.02,0.03,-0.15,-0.16,0.02,-0.54,-0.29,-0.37,0.13,-0.05,4,5.6,-1.6,6.7,24.7,-18,17,20,0,37,-3
4,ATL,CIN,1,0,1575.91882,0.683845352,-0.2,-0.04,0.05,0.23,-0.02,0.23,0.07,0.17,-0.03,0.03,-0.43,-0.11,-0.12,0.26,-0.05,6.2,5.8,0.4,26.7,28.3,-1.6,36,37,0,73,-1
4,BAL,PIT,0,0,1552.94156,0.369143893,0.21,0.1,0.04,-0.21,-0.04,0,0.13,0.09,0.03,-0.06,0.21,-0.03,-0.05,-0.24,0.02,5,4.3,0.7,32.3,17,15.3,26,14,1,40,12
4,BUF,GB,0,0,1503.0752,0.472600101,-0.57,-0.35,-0.48,0.09,0,-0.11,0.03,0.02,0.15,0.01,-0.46,-0.38,-0.5,-0.06,-0.01,4,5.2,-1.2,16.7,28,-11.3,0,22,0,22,-22
4,CHI,TB,1,0,1473.715966,0.534098176,0.11,-0.03,-0.2,-0.28,0.03,-0.05,-0.05,0.21,0.21,-0.05,0.16,0.02,-0.41,-0.49,0.08,4.4,5.1,-0.7,21,18.3,2.7,48,10,1,58,38
4,CIN,ATL,0,0,1506.895489,0.316154648,0.23,0.07,0.17,-0.03,0.03,-0.2,-0.04,0.05,0.23,-0.02,0.43,0.11,0.12,-0.26,0.05,6.1,5.3,0.8,29.7,25.7,4,37,36,1,73,1
4,CLE,OAK,0,0,1327.876568,0.292354719,-0.2,-0.09,-0.28,-0.22,-0.14,-0.21,-0.1,0.07,0.25,-0.03,0.01,0.01,-0.35,-0.47,-0.11,4.5,5,-0.5,20,19.7,0.3,42,45,0,87,-3
4,DAL,DET,1,0,1517.107093,0.619530333,-0.09,0.02,-0.1,-0.03,-0.03,-0.3,-0.12,-0.1,0.08,-0.12,0.21,0.14,0,-0.11,0.09,5,4.3,0.7,13.7,17.7,-4,26,24,1,50,2
4,DEN,KC,1,0,1454.447902,0.346704816,0.02,-0.04,0.01,0,0.01,0.42,0.13,0.51,0.27,0.18,-0.4,-0.17,-0.5,-0.27,-0.17,5.8,5.5,0.3,20.3,23.3,-3,23,27,0,50,-4
